词,词频
直接,171
投放,171
software,171
技术难题,170
在线,170
读写能力,170
恢复,170
测试方法,170
进展,170
达标,170
接收,170
本地,169
开发工具,169
Modbus,169
财务管理,169
电气设备,169
船舶,169
补充,168
总部,168
电子设备,167
开拓,167
五大,167
监管,167
初步,167
班组,167
设计模式,166
对账,166
助力,166
导航,166
市场调研,166
规避,165
操作手册,165
要点,165
合规性,165
完整性,165
追溯,164
信息管理,164
入库,164
配套,164
功能模块,163
单休,163
测算,163
模具,163
调用,162
运输,162
生产线,162
操作证,162
linux,161
python,161
科研,161
PCB,161
杜绝,161
文字,161
工商管理,161
商务谈判,161
检修,161
必要,160
企业级,160
带教,160
及时处理,159
注册,159
基地,159
能源,159
回复,159
社保,158
售前,158
生日,158
遇到,158
燃气,157
更佳,157
信息系统,157
前期,157
激光,157
NPI,157
时序,156
APP,156
宿舍,156
热情,156
国内,156
点检,156
促销,156
是否,155
发放,155
生活,155
华为,155
控制器,155
可靠,155
MyBatis,154
修改,154
全国,154
迁移,154
资源管理,154
城市,154
波动,154
优秀者,154
通道,154
材料科学,154
机械设计,154
支付,153
CI,153
攻关,153
发货,153
信号处理,153
外观,152
定义,151
认知,151
模组,151
一年,151
平衡,151
及时发现,151
筛选,151
录用,151
特种,151
录入,151
内审员,151
水利,150
函数,150
偏差,150
宣传,150
电控,150
小红书,150
安全性,149
物资,149
回款,148
签订,148
排班,148
根本原因,148
餐饮,148
流利,147
全勤奖,147
解读,147
流转,147
数据管理,147
操作规程,147
软件设计,146
职能,146
js,146
差异,146
Shell,145
模态,145
解析,144
损耗,144
KPI,144
全员,144
系列,143
审批,143
针对性,143
每周,143
身体健康,143
保密,143
电芯,142
厂区,142
规格,142
ARM,142
填写,142
值班,142
每年,141
微调,141
确定,141
优势,141
报废,141
厂商,140
教学,140
专利,140
寻找,140
故障诊断,140
事宜,140
漏洞,140
线下,140
防护,140
家电,140
Mybatis,139
多种,139
实践经验,139
福建,139
不良率,139
备件,139
Kafka,138
队列,138
传递,138
立项,138
辅导,138
样机,138
预防性,138
下达,138
食堂,138
内存,137
bug,137
如果,137
器件,137
快节奏,137
梯队,137
销售策略,137
热力,136
演练,136
深耕,136
年底,135
假期,135
用友,135
电子产品,135
对外,135
选择,135
书面,135
仪表,135
线路,135
转化率,135
CD,134
自我,134
解答,134
橡胶,134
标题,134
上市,134
优质,134
苏州,134
分布式系统,133
重要,133
更换,133
最终,132
指令,132
运转,132
化学原料,132
HTML,131
例如,131
结构设计,131
课程,131
储备,131
之间,131
紧急,131
对于,131
达到,131
万用表,131
周报,131
核心技术,130
java,130
增强,130
通信工程,130
BMS,130
基本原理,130
遵守,130
利润,130
UI,129
测试环境,129
国内外,129
AGV,129
提前,129
配方,129
严格遵守,129
上架,129
制冷,129
游戏,128
试用期,128
LLM,128
注塑,128
试制,128
包吃,128
经销商,128
防火墙,127
预案,127
计算机视觉,127
原型,127
打印机,126
最新,126
减少,126
数据仓库,126
ETL,126
特别,126
重复,126
事故,126
食品行业,126
深刻理解,125
HTML5,125
自己,125
医疗器械,125
专员,125
高分子,125
顾客,125
物业,125
office,125
责任感,124
亦可,124
衔接,124
Prompt,124
组长,124
data,124
工况,124
资格证书,124
航空,124
对策,124
亮点,123
敏锐,123
前沿,123
收入,123
SpringBoot,122
审查,122
讨论,122
互动,122
履约,122
EMC,122
出口,122
倒班,122
四级,121
高性能,121
硬性,121
特征,121
后续,121
法律,121
锂电池,121
亚马逊,121
MVC,119
软件系统,119
两年,119
ROS,119
经济,119
能耗,119
休息,118
定价,118
给出,118
MCU,118
战略规划,118
不定期,118
锂电,118
一次,118
灵活,117
厦门,117
告警,117
参加,117
模板,117
development,117
on,117
市场动态,117
机械制造,117
医药,117
思考,116
路由器,116
隔离,116
一起,116
分割,116
系统性,116
规程,116
弱电,115
引擎,115
特点,115
调配,115
老化,115
公众,115
SIP,115
连锁,115
数据安全,114
SPI,114
程序开发,114
后期,114
团队精神,114
洞察力,114
异常情况,114
驾照,114
投标,114
公差,114
内审,114
合格率,114
金属,114
通用,113
理念,113
说明书,113
遵循,113
大学本科,113
包住,113
外设,113
六险,113
创意,113
一致,112
涉及,112
面向对象,112
交代,112
联合,112
保护,112
功率,112
分析仪,112
机械设备,112
装备,112
CQE,112
控制点,112
听说读写,111
邮件,111
检索,111
雷达,111
塑料制品,111
射频,111
引入,110
转换,110
排除,110
内控,110
劳动,110
制药,110
MongoDB,109
RabbitMQ,109
展示,109
软件产品,109
工作效率,109
当地,109
标签,109
绘制,109
2.3,109
研究生,109
安全意识,109
光电,109
GMP,109
风电,109
酒店,109
饮品,109
接待,109
养殖,109
年终奖金,108
编排,108
天猫,108
实战,108
留存,108
打印,108
PMC,108
多个,107
双薪,107
一门,107
难点,107
表单,107
配送,107
回归,107
外协,107
特殊,107
坐标,107
验厂,107
产品品质,107
抢修,107
合成,107
集群,106
市场需求,106
素材,106
三方,106
DSP,106
帮助,106
测控,106
工作量,106
成熟,106
人事,106
矩阵,106
思想,105
负载,105
产出,105
MATLAB,105
兼容性,105
test,105
类产品,105
有关,105
返工,105
testing,105
注重,104
语句,104
接触,104
扩展,104
未来,104
促进,104
虚拟化,104
experience,104
会员,104
推行,104
对标,104
总监,104
六西格玛,104
关闭,104
PCBA,104
兴趣,103
软件架构,103
调薪,103
延迟,103
聚焦,103
透视,103
工时,103
社群,103
充电,103
制订,103
HACCP,103
水质,103
TypeScript,102
读写,102
导师,102
总线,102
高端,102
产品检验,102
冲压,102
PFMEA,102
皮革,102
日报,102
常见问题,101
公积金,101
接入,101
理解能力,101
SDK,101
串口,101
产品经理,101
面向,101
半成品,101
固件,101
产假,101
即可,101
数据报表,101
竞赛,101
全职,101
停机,101
C1,101
配电,101
回收,101
3C,101
动力电池,101
烟酒,101
概念,100
自驱力,100
财税,100
SLAM,100
AutoCAD,100
降本增效,100
Minitab,100
检验员,100
手段,99
风格,99
重构,99
通知,99
多多,99
职业道德,99
向量,99
网站,99
专家,99
成型,99
镜头,99
伺服,99
全套,99
复用,98
考勤,98
传统,98
高频,98
基金,98
动力,98
行业动态,98
分公司,98
台架,98
交期,98
抽样,98
准入,98
鱼骨,98
理化,98
设置,97
阶段性,97
全球,97
先进,97
最佳,97
答疑,97
存在,97
轮岗,97
复现,97
IDC,97
避免,97
抽检,97
节能,97
规范化,96
迅速,96
学生,96
边缘,96
内外,96
客户资源,96
发展趋势,96
有序,96
年终,96
类型,96
数量,96
EXCEL,96
治具,96
传播,96
影像,96
呆滞,96
HTTP,95
索引,95
CRM,95
赛道,95
督促,95
逆变器,95
表面,95
影响力,95
新工艺,95
检具,95
初级,94
Kubernetes,94
Go,94
工作制,94
维度,94
窗口,94
招投标,94
算力,94
三维,94
数据挖掘,94
获得,94
WPF,94
related,94
航天,94
布线,94
可维护性,93
地图,93
全栈开发,93
数据备份,93
主要职责,93
产品线,93
技术培训,93
论文,93
全盘,93
引导,93
工作餐,93
IATF,93
批次,93
变电站,93
轨迹,93
六个月,92
速度,92
渗透,92
音视频,92
分层,92
正在,92
弹性,92
售后服务,92
卫生,92
清洁,92
货物,92
JVM,91
英语口语,91
GIS,91
左右,91
性格开朗,91
人才培养,91
器械,91
口语,91
常态,91
意愿,91
is,91
图片,91
GB,91
元件,91
依托,91
引流,91
品管,91
技改,91
QT,90
钻研,90
命令,90
配件,90
电力系统,90
突出,90
参考,90
成像,90
服务质量,90
拍摄,90
乐于,89
资深,89
敏捷,89
PMP,89
二次,89
组建,89
选品,89
强化,89
实车,89
绘图,89
电路设计,89
部件,89
PQE,89
厂房,89
下属,89
标识,89
几何,89
推荐,88
抗压性,88
规格书,88
认同,88
指定,88
management,88
角度,88
资格证,88
社会,88
装置,88
印刷,88
信息工程,87
用于,87
定位问题,87
信息技术,87
业主,87
介绍,87
设计方案,87
研判,87
动力学,87
as,87
机械类,87
临时性,87
原生,86
RESTful,86
移植,86
方法论,86
浓厚兴趣,86
语言表达,86
光源,86
不是,86
厂务,86
租赁,86
礼品,86
每天,86
电化学,86
温度,86
应变能力,86
院校,85
Nginx,85
UART,85
CET,85
评测,85
证券,85
提取,85
报销,85
富有,85
音频,85
工科,85
操盘,85
首件,85
废水,85
日语,85
可能,84
适当,84
到货,84
专注,84
启动,84
社区,84
职称,84
加速,84
整个,84
结构化,84
固定,84
防范,84
ROS2,84
剪辑,84
底盘,84
点云,84
质量事故,84
线束,84
巡查,84
宁波,84
可扩展性,83
认真细致,83
淘宝,83
新人,83
关键技术,83
西门子,83
一位,83
system,83
同等,83
运营商,83
图像识别,83
文献,83
曝光,83
量具,83
6S,83
时效,83
鞋服,83
差异化,83
竞争对手,83
领导力,83
形象,83
货品,83
夹具,83
敬业精神,82
流水线,82
PC,82
单元,82
预研,82
常见故障,82
尤其,82
正确,82
SolidWorks,82
周转,82
中试,82
财务报表,82
遥感,82
MQTT,81
思路,81
拜访,81
预判,81
高速,81
成为,81
网络工程,81
亲和力,81
skills,81
光谱,81
安防,81
围绕,81
电子行业,81
customer,81
供方,81
内勤,81
商贸,80
原则,80
主动性,80
I2C,80
动作,80
高强度,80
无需,80
技术标准,80
循环,80
Halcon,80
提炼,80
班车,80
口头,80
按计划,80
跟单,80
贡献,79
RTOS,79
系统优化,79
甲方,79
2D,79
图谱,79
编辑,79
顾问,79
奖励,79
拟定,79
合作伙伴,79
关于,79
日化,79
爆款,79
路由,78
医疗保险,78
联系,78
聚餐,78
用例,78
礼金,78
攻坚,78
技术规范,78
小组,78
实时性,78
对比,78
会计师,78
防控,78
认可,78
晶圆,78
财务软件,78
保管,78
机组,78
药品,78
手机,77
IO,77
电网,77
大小,77
第一,77
政务,77
五年,77
Core,77
提示,77
链条,77
加分,77
数据可视化,77
货运,77
竞争,77
收益,77
月薪,77
面谈,77
场地,77
运维及,76
私域,76
专案,76
边界,76
产生,76
文本,76
HR,76
仪器设备,76
同事,76
CP,76
DFMEA,76
办理,76
图文,76
CPK,76
人员培训,76
inspection,76
消耗,76
号线,76
市场趋势,76
网络协议,75
进程,75
不能,75
系统维护,75
基本操作,75
角色,75
正式,75
主持,75
下午茶,75
诉求,75
并行,75
中国,75
CNC,75
合理性,75
获取,75
日本,75
微电子,75
军工,75
制图,75
检讨,75
消品,75
发电,75
机电设备,75
报警,75
变频器,75
发票,75
家居,75
财务数据,74
抽象,74
BUG,74
定时,74
阿里,74
婚假,74
打通,74
事业,74
保持良好,74
福建省,74
夜班,74
电脑操作,74
获客,74
打样,74
准时,74
起草,74
质量指标,74
进料,74
高低压,74
vue,73
全栈,73
采购计划,73
表格,73
国产,73
系统实施,73
把握,73
网络通信,73
得到,73
房补,73
规章制度,73
源头,73
异步,72
技术创新,72
JS,72
系统分析,72
PLM,72
效能,72
Transformer,72
LIN,72
替代,72
连续,72
DQE,72
技术员,72
product,72
主机厂,72
账实,72
用工,72
医院,72
形式,71
Maven,71
必备,71
转型,71
关键词,71
消防,71
高校,71
期货,71
进出口,71
communication,71
诚信,71
激光雷达,71
PID,71
振动,71
接线,71
设定,71
水电,71
融资,71
程序设计,70
国产化,70
疑问,70
投产,70
融入,70
矿山,70
适合,70
板块,70
面对,70
组合,70
午休,70
安规,70
玩法,70
Power,70
预算编制,70
DOE,70
requirements,70
构成,70
连接器,70
analysis,70
分析方法,70
环境工程,70
电梯,70
商场,70
下发,69
面向对象编程,69
开发技术,69
应用层,69
同类,69
演示,69
有过,69
年限,69
应用程序,69
大规模,69
增值,69
对齐,69
取得,69
中长期,69
重复性,69
防止,69
显示,69
市场推广,69
筹备,69
结论,69
金属材料,69
工程机械,69
工程施工,69
Qt,68
搜索,68
报名,68
授课,68
连接,68
等等,68
分级,68
网络故障,68
引进,68
预处理,68
任一,68
SAS,68
潜力,68
目的,68
层面,68
积累,68
成交,68
器具,68
technical,68
出库,68
利用率,68
电气系统,68
出入库,68
企划,68
CSS3,67
划分,67
中断,67
每个,67
WCS,67
发表,67
突发事件,67
辞职,67
创作,67
变压器,67
卡尺,67
京东,67
SQE,67
传达,67
渲染,66
均衡,66
大屏,66
讲解,66
做出,66
资源整合,66
UPS,66
及运维,66
SCADA,66
分红,66
希望,66
类似,66
为主,66
LabVIEW,66
Engineering,66
排程,66
较大,66
咨询服务,66
报修,66
学术,66
轻松,66
扫描,66
寿命,66
ISO22000,66
局域网,66
ROI,66
高层,65
按期,65
家具,65
多任务,65
办公设备,65
化学工程,65
大纲,65
验货,65
溯源,65
无损,65
操守,65
整改措施,65
招标,65
社交,65
天线,65
公共,64
请求,64
redis,64
乐观,64
目前,64
卓越,64
系统配置,64
计算机网络,64
AWS,64
规模,64
端的,64
如何,64
other,64
excel,64
排产,64
连续性,64
消费者,64
生产成本,64
优先级,64
机软件,64
配备,64
召开,64
航空航天,64
工程项目,64
特种设备,64
值守,64
装修,64
付款,64
充足,64
流畅,63
加载,63
特定,63
集合,63
各个,63
顺利进行,63
关联,63
按质,63
语义,63
大学,63
preferred,63
知识产权,63
准确率,63
理工类,63
混合,63
及时性,63
规律,63
AOI,63
冲突,63
1.5,63
机台,63
户外,63
违规,63
票据,63
封顶,63
improvement,63
陶瓷,63
复核,63
五金,63
Quality,63
2.1,63
EHS,63
广告投放,63
版本控制,62
智能家居,62
Mysql,62
Framework,62
喜欢,62
DevOps,62
办公室,62
津贴,62
共享,62
Matlab,62
管理者,62
系统化,62
技术水平,62
OPC,62
三大,62
名称,62
tools,62
线索,62
特征提取,62
LED,62
热点,62
满勤,62
福州市,62
IMU,62
OEE,62
复购,62
国际贸易,62
根源,62
营运,62
ISO9000,62
质控,62
损失,62
临床,62
浙江省,62
上传,61
贴合,61
规范性,61
概述,61
销量,61
大中型,61
电气设计,61
代表,61
自然语言处理,61
风险管理,61
没有,61
无线,61
数字电路,61
任何,61
批准,61
账户,61
FPGA,61
控制工程,61
support,61
关怀,61
零件,61
队伍,61
相符,61
2.2,61
充分,60
分离,60
设计规范,60
最好,60
质量保证,60
诚实,60
交接,60
云端,60
多维度,60
开发人员,60
创新能力,60
电子电路,60
担当,60
加班费,60
整洁,60
附近,60
两个,60
专业培训,60
操作能力,60
很强,60
房地产,60
索赔,60
管道,60
污水处理,60
spring,59
重视,59
Code,59
后端,59
感兴趣,59
创业,59
无人,59
头部,59
分工,59
系统故障,59
事业部,59
招募,59
消费品,59
签约,59
滤波,59
避障,59
上市公司,59
TS16949,59
微生物,59
清理,58
学校,58
并且,58
mysql,58
读懂,58
周一,58
学信,58
蓝牙,58
排版,58
突破,58
功耗,58
新增,58
覆盖率,58
安全隐患,58
精细化,58
耦合,58
意向,58
改良,58
催收,58
反应,58
直至,58
Job,58
ISO14001,58
价值观,58
食宿,58
中级职称,58
浏览器,57
Cursor,57
所属,57
K8s,57
Node,57
海量,57
SaaS,57
内核,57
一般,57
候选人,57
任意,57
IEC,57
致力于,57
高精度,57
建立健全,57
指南,57
VDA6.3,57
洽谈,57
厂内,57
制备,57
归集,57
放行,57
CNAS,57
食品科学,57
驾驶证,57
周转率,57
毛利,57
医学,57
CANoe,57
思路清晰,56
MS,56
子公司,56
概要,56
响应速度,56
广阔,56
多方,56
委托,56
人工,56
专属,56
生育,56
Azure,56
指标体系,56
规模化,56
课题,56
模块化,56
鲁棒性,56
轻量化,56
软性,56
主题,56
处于,56
外出,56
仓山区,56
查看,56
提报,56
QMS,56
力学,56
发动机,56
纠纷,56
液压,56
数据录入,56
存货,56
盈利,56
询价,56
轴承,56
药物,56
自测,55
任务分配,55
单价,55
Spark,55
分布,55
Claude,55
创建,55
地方,55
工控,55
合适,55
政企,55
备注,55
performance,55
适应能力,55
English,55
STM32,55
质检员,55
会计学,55
process,55
新闻,55
正直,55
筹划,55
化学品,55
产量,55
品牌形象,55
登高,55
服务商,55
粉丝,55
议价,55
门禁,54
上进心,54
追求,54
网可查,54
USB,54
失败,54
切换,54
三菱,54
展会,54
OEM,54
处理器,54
做到,54
对象,54
摄像头,54
约束,54
上海,54
不足,54
PDCA,54
辅料,54
给排水,54
站点,54
凝聚力,54
创业者,54
SQLServer,53
常用命令,53
oracle,53
语法,53
web,53
凭证,53
补丁,53
演进,53
面料,53
插件,53
问答,53
之一,53
程度,53
VPN,53
机理,53
CPA,53
经济学,53
负责制,53
收集整理,53
回访,53
额外,53
合伙人,53
厂家,53
空气,53
质保,53
文员,53
陈列,53
做过,52
FreeRTOS,52
爬虫,52
Tomcat,52
效益,52
授权,52
下单,52
数仓,52
编译,52
LangChain,52
妥善处理,52
计算机专业,52
脚本语言,52
Sql,52
等级,52
一家,52
