简历ID,岗位ID,数据集
R003,J0792,valid
R003,J6083,train
R003,J5972,train
R003,J5355,train
R003,J0634,train
R003,J6431,train
R003,J8309,valid
R003,J7181,train
R003,J0441,test
R003,J1138,test
R003,J3908,train
R003,J5282,train
R003,J2226,train
R003,J5091,train
R003,J5704,test
R003,J2810,train
R003,J8179,train
R003,J6982,train
R003,J1772,train
R003,J5923,train
R003,J6702,train
R003,J1506,valid
R003,J4100,train
R003,J3569,valid
R003,J3310,train
R003,J4969,train
R003,J8392,train
R003,J8344,test
R003,J7537,valid
R003,J7027,train
R003,J4678,train
R003,J3204,train
R003,J0070,train
R003,J8000,valid
R003,J3195,train
R003,J2779,test
R003,J6342,train
R003,J4403,train
R003,J7458,train
R003,J1487,test
R003,J4187,train
R003,J6358,train
R003,J8410,test
R003,J5582,train
R003,J5536,train
R003,J5450,train
R003,J6770,train
R003,J5230,train
R003,J6517,train
R003,J6725,train
R003,J2076,test
R003,J5574,test
R003,J6428,valid
R003,J6447,train
R003,J6426,train
R003,J6823,train
R003,J7415,train
R003,J8100,train
R003,J7931,valid
R003,J5211,train
R003,J5454,train
R003,J1056,train
R003,J1206,train
R003,J3693,train
R003,J2175,valid
R003,J3218,valid
R003,J4588,train
R003,J5417,train
R003,J4023,test
R003,J6927,test
R003,J0774,train
R003,J0834,valid
R003,J1439,train
R003,J0836,train
R003,J5567,train
R003,J1769,valid
R003,J1475,test
R003,J1547,train
R003,J0741,train
R003,J6832,test
R003,J7253,train
R003,J1218,train
R003,J7215,train
R003,J4163,valid
R003,J6727,train
R004,J2366,train
R004,J1379,train
R004,J8453,train
R004,J4653,train
R004,J5664,train
R004,J2769,train
R004,J5356,train
R004,J5040,test
R004,J4030,train
R004,J3862,train
R004,J4155,test
R004,J7479,test
R004,J1905,train
R004,J3289,train
R004,J3742,train
R004,J7374,test
R004,J7304,train
R004,J2116,train
R004,J7795,test
R004,J1978,test
R004,J1358,train
R004,J3990,train
R004,J2627,train
R004,J5344,valid
R004,J3579,train
R004,J7654,train
R004,J4962,train
R004,J4352,train
R004,J6913,test
R004,J3229,valid
R004,J0474,train
R004,J7565,train
R004,J2246,test
R004,J5374,train
R004,J4718,train
R004,J0835,valid
R004,J6236,train
R004,J0798,train
R004,J6453,train
R004,J6103,train
R004,J4572,test
R004,J6477,test
R004,J6702,train
R004,J2770,test
R004,J3381,train
R004,J7602,train
R004,J2431,test
R004,J5412,test
R004,J4507,test
R004,J3603,train
R004,J8753,train
R004,J3891,train
R004,J6265,train
R004,J1730,valid
R004,J3578,test
R004,J2617,test
R004,J1172,train
R004,J3648,train
R004,J0490,valid
R004,J2217,train
R004,J0493,train
R004,J0635,test
R004,J5151,train
R004,J1042,test
R004,J4985,train
R004,J8309,valid
R004,J2164,train
R004,J5268,train
R004,J1297,test
R004,J3528,test
R004,J8062,test
R004,J5552,train
R004,J8499,train
R004,J3992,train
R004,J7421,train
R004,J7686,train
R004,J7245,test
R004,J8207,train
R004,J1021,train
R004,J3790,train
R004,J5019,test
R004,J7105,test
R004,J2947,valid
R004,J4987,train
R004,J2162,train
R004,J6827,train
R004,J2664,train
R004,J0039,train
R004,J0685,train
R004,J3077,test
R004,J4578,train
R004,J8530,train
R004,J8245,test
R004,J1597,test
R004,J5152,train
R004,J7979,train
R004,J4141,valid
R004,J0588,valid
R004,J0369,train
R004,J4182,test
R004,J6158,test
R004,J6170,train
R004,J4688,train
R004,J1296,test
R004,J2165,train
R004,J1130,train
R004,J3668,train
R004,J3276,train
R004,J2777,train
R004,J7969,train
R004,J5726,test
R004,J6447,train
R004,J5543,test
R004,J0130,train
R004,J4431,train
R004,J7040,valid
R004,J1128,train
R004,J5500,valid
R004,J8504,train
R004,J2475,train
R004,J5685,train
R004,J1526,train
R004,J6870,train
R004,J7353,train
R004,J4301,train
R004,J1265,train
R004,J4799,train
R004,J0610,train
R004,J6032,train
R004,J5172,train
R004,J0367,train
R004,J8283,train
R004,J3170,train
R004,J4823,train
R004,J4728,train
R004,J3009,train
R004,J4909,train
R004,J4438,train
R004,J3506,test
R004,J8101,train
R004,J1343,train
R004,J3855,train
R004,J1506,valid
R004,J6555,valid
R004,J0316,valid
R004,J0817,train
R004,J3666,train
R004,J5153,train
R004,J4625,test
R004,J2776,test
R005,J2665,train
R005,J2666,test
R005,J2667,valid
R005,J2668,train
R005,J2669,train
R005,J2670,train
R005,J2671,train
R005,J2672,test
R005,J2673,train
R005,J2674,test
R005,J2675,train
R005,J2676,train
R005,J2677,train
R005,J2678,train
R005,J2679,train
R005,J2680,train
R005,J2681,valid
R005,J2682,train
R005,J2683,train
R005,J2684,train
R005,J2685,train
R005,J2686,test
R005,J2687,test
R005,J2688,train
R005,J2689,valid
R005,J2690,valid
R005,J2691,train
R005,J2692,train
R005,J2693,train
R005,J2694,train
R005,J2695,train
R005,J2696,valid
R005,J2697,test
R005,J2698,test
R005,J2699,test
R005,J2700,train
R005,J2701,test
R005,J2702,train
R005,J2703,train
R005,J2704,valid
R005,J2705,train
R005,J2706,train
R005,J2707,test
R005,J2708,train
R005,J2709,train
R005,J2710,valid
R005,J2711,train
R005,J2712,train
R005,J2713,valid
R005,J2714,train
R005,J2715,train
R005,J2716,test
R005,J2717,train
R005,J2718,train
R005,J2719,valid
R005,J2720,train
R005,J2721,test
R005,J2722,train
R005,J2723,train
R005,J2724,train
R005,J2725,valid
R005,J2726,train
R005,J2727,train
R005,J2728,train
R005,J2729,train
R005,J2730,train
R005,J2731,train
R005,J2732,train
R005,J2733,train
R005,J2734,train
R005,J2735,train
R005,J2736,train
R005,J2737,train
R005,J2738,test
R005,J2739,train
R005,J2740,valid
R005,J2741,train
R005,J2742,train
R005,J2743,train
R005,J2744,test
R005,J2745,train
R005,J2746,train
R005,J2747,train
R005,J2748,valid
R005,J2749,train
R005,J2750,train
R005,J2751,train
R005,J2752,valid
R005,J2753,test
R005,J2754,valid
R005,J2755,test
R005,J2756,train
R005,J2757,test
R005,J2758,train
R005,J2759,valid
R005,J2760,train
R005,J2761,train
R005,J2762,train
R005,J2763,test
R005,J6513,train
R005,J8816,test
R005,J4465,test
R005,J2036,test
R005,J6827,train
R005,J2285,train
R005,J0925,test
R005,J1195,train
R005,J7978,train
R005,J8366,train
R005,J0885,train
R005,J6810,test
R005,J2395,train
R005,J1069,test
R005,J1043,test
R005,J0041,valid
R005,J5670,train
R005,J3946,train
R005,J4010,train
R005,J4023,test
R005,J1920,train
R005,J7551,train
R005,J0947,train
R005,J6709,test
R005,J8815,train
R005,J3889,train
R005,J3588,test
R005,J7604,train
R005,J6359,train
R005,J0258,train
R005,J5429,train
R005,J5735,test
R005,J2485,train
R005,J4486,train
R005,J6568,train
R005,J4764,train
R005,J4570,train
R005,J0998,train
R005,J7558,train
R005,J2603,train
R005,J1631,test
R005,J3512,train
R005,J4889,train
R005,J6184,test
R005,J8550,train
R005,J8384,train
R005,J7652,valid
R005,J2064,train
R005,J0321,train
R005,J8416,train
R005,J8532,train
R005,J6644,train
R005,J2029,valid
R005,J6281,train
R005,J5498,train
R005,J0740,train
R005,J2091,train
R005,J3412,train
R005,J5594,test
R005,J4863,train
R005,J8563,train
R005,J0983,train
R005,J5241,train
R005,J4528,test
R005,J2449,train
R005,J7957,train
R005,J2910,valid
R005,J3661,valid
R005,J4774,train
R005,J6807,train
R005,J6961,train
R005,J4756,train
R005,J8612,valid
R005,J2068,train
R005,J3296,train
R005,J8354,test
R005,J8468,test
R005,J7219,train
R005,J7182,train
R005,J3806,train
R005,J6279,train
R005,J6516,valid
R005,J8101,train
R005,J3710,train
R005,J3081,train
R005,J4203,train
R005,J8711,train
R005,J6227,train
R005,J5951,train
R005,J2587,train
R005,J7144,train
R005,J4064,train
R005,J7887,train
R005,J3691,test
R005,J7067,test
R005,J0071,train
R005,J8456,train
R005,J6868,train
R005,J2303,train
R005,J5941,train
R005,J7528,train
R005,J6405,train
R005,J8171,train
R005,J4711,train
R005,J7826,train
R005,J4661,test
R005,J0040,train
R005,J3953,train
R005,J6427,train
R005,J4904,train
R005,J5986,train
R005,J0354,train
R005,J5984,valid
R005,J1636,train
R005,J1328,train
R005,J7520,train
R005,J7038,train
R005,J0734,train
R005,J0425,train
R005,J3128,train
R005,J6885,train
R005,J5121,train
R005,J4116,valid
R005,J3657,train
R005,J2570,valid
R005,J2215,train
R005,J5795,train
R005,J3557,train
R005,J5718,train
R005,J3089,train
R005,J6995,train
R005,J0422,train
R005,J8382,train
R005,J4328,train
R005,J7865,train
R005,J6297,train
R005,J7527,train
R005,J5462,valid
R005,J0639,train
R005,J7656,train
R005,J0477,train
R005,J8586,train
R005,J6022,test
R005,J3327,train
R005,J0640,train
R005,J5694,valid
R005,J7047,train
R005,J5409,train
R005,J6702,train
R005,J7651,valid
R006,J0784,train
R006,J2901,train
R006,J0081,train
R006,J6835,train
R006,J3951,train
R006,J0966,train
R006,J5226,train
R006,J6166,valid
R006,J6200,test
R006,J0413,train
R006,J5490,test
R006,J2454,train
R006,J8745,train
R006,J7311,train
R006,J8832,train
R006,J7487,train
R006,J7845,train
R006,J3169,train
R006,J6169,train
R006,J0447,test
R006,J6763,test
R006,J4734,valid
R006,J6225,train
R006,J2651,train
R006,J2805,test
R006,J8739,test
R006,J7128,train
R006,J4153,train
R006,J3368,train
R006,J1312,test
R006,J0531,train
R006,J2150,train
R006,J7462,valid
R006,J0147,train
R006,J6374,train
R006,J8101,train
R006,J0804,train
R006,J4877,train
R006,J7511,train
R006,J4175,train
R006,J0262,test
R006,J7568,train
R006,J2413,test
R006,J0697,train
R006,J1341,train
R006,J0180,valid
R006,J1302,valid
R006,J2601,train
R006,J7770,train
R006,J4973,train
R006,J2109,train
R006,J2080,train
R006,J5156,train
R006,J5793,train
R006,J4310,test
R006,J7952,train
R006,J3747,train
R006,J4605,train
R006,J2226,train
R006,J5286,train
R006,J8481,train
R006,J4318,test
R006,J7264,valid
R006,J1093,train
R006,J5157,train
R006,J8627,test
R006,J8798,train
R006,J1644,train
R006,J2548,valid
R006,J7009,valid
R006,J8139,train
R006,J3634,train
R006,J0777,train
R006,J0042,train
R006,J2264,test
R006,J2788,train
R006,J2782,valid
R006,J1461,train
R006,J4879,train
R006,J1070,train
R006,J7424,valid
R006,J1424,test
R006,J5096,train
R006,J7830,valid
R006,J5261,valid
R006,J2336,test
R006,J4203,train
R006,J2792,train
R006,J4523,train
R006,J6434,train
R006,J1120,train
R006,J2880,train
R006,J8708,test
R006,J6495,train
R006,J7527,train
R006,J7430,train
R006,J5053,train
R006,J5946,train
R006,J7917,train
R006,J8757,valid
R006,J1987,train
R006,J0274,train
R006,J0036,test
R006,J6997,test
R006,J3424,test
R006,J5196,test
R006,J1455,valid
R006,J1167,train
R006,J2111,train
R006,J4663,train
R006,J7126,train
R006,J5580,train
R006,J4061,test
R006,J4789,train
R006,J1266,train
R006,J4005,train
R006,J2790,train
R006,J2016,train
R006,J6476,train
R006,J6103,train
R006,J8146,valid
R006,J0686,train
R006,J3664,valid
R006,J3980,train
R006,J6463,train
R006,J7227,valid
R006,J2176,train
R006,J1899,valid
R006,J3044,train
R006,J5254,train
R006,J8045,train
R006,J7967,train
R006,J4014,test
R006,J4807,train
R006,J0991,train
R006,J8014,train
R006,J1110,train
R006,J1524,test
R006,J5901,train
R006,J1206,train
R006,J0423,train
R006,J5270,valid
R006,J1992,train
R006,J6783,train
R006,J1668,valid
R006,J4469,train
R006,J1611,valid
R006,J0168,train
R006,J6008,train
R006,J5415,valid
R007,J0716,train
R007,J0540,valid
R007,J2154,test
R007,J3979,train
R007,J7722,valid
R007,J2257,train
R007,J0934,train
R007,J1942,train
R007,J7453,train
R007,J1058,train
R007,J2131,valid
R007,J1615,valid
R007,J0266,train
R007,J3281,train
R007,J1756,valid
R007,J2237,test
R007,J7424,valid
R007,J3518,train
R007,J0322,train
R007,J7818,test
R007,J2658,train
R007,J5289,train
R007,J0627,train
R007,J7861,train
R007,J1445,train
R007,J3954,train
R007,J8477,train
R007,J7694,train
R007,J4323,train
R007,J7725,train
R007,J1179,train
R007,J4162,train
R007,J3173,valid
R007,J6736,train
R007,J6476,train
R007,J0655,train
R007,J8314,train
R007,J6665,train
R007,J0782,test
R007,J2629,valid
R007,J6492,valid
R007,J6375,train
R007,J3974,valid
R007,J4073,train
R007,J7482,train
R007,J1296,test
R007,J6241,train
R007,J0964,train
R007,J0789,train
R007,J6332,train
R007,J8254,valid
R007,J2322,train
R007,J3187,valid
R007,J8349,test
R007,J1180,train
R007,J0379,valid
R007,J8478,train
R007,J8586,train
R007,J7389,valid
R007,J3467,train
R007,J0881,train
R007,J3251,train
R007,J1561,test
R007,J8569,train
R007,J6658,test
R007,J3582,train
R007,J5112,train
R007,J2931,train
R007,J1813,train
R007,J5713,train
R007,J8217,train
R007,J4730,valid
R007,J7133,train
R007,J8812,train
R007,J5355,train
R007,J2155,train
R007,J7688,train
R007,J3632,train
R007,J1453,train
R007,J5390,train
R007,J2487,train
R007,J0075,train
R007,J0918,train
R007,J5422,train
R007,J4741,train
R007,J6846,train
R007,J4189,train
R007,J5136,train
R007,J0393,train
R007,J3546,test
R007,J2893,train
R007,J3096,valid
R007,J0028,test
R007,J2043,train
R007,J7277,train
R007,J2725,valid
R007,J6568,train
R007,J4555,train
R007,J1835,train
R007,J6768,train
R007,J4586,train
R007,J7642,train
R007,J4828,train
R007,J7363,train
R007,J1627,train
R007,J3832,train
R007,J2039,valid
R007,J8413,train
R007,J3290,test
R007,J1109,valid
R007,J4560,train
R007,J8275,train
R007,J7314,train
R007,J0265,train
R007,J1576,train
R007,J0496,train
R007,J3580,train
R007,J2185,train
R007,J4538,train
R007,J2592,valid
R007,J1203,test
R007,J7859,train
R007,J1420,valid
R007,J5048,train
R007,J4314,valid
R007,J2984,valid
R007,J1403,train
R007,J0848,train
R007,J3951,train
R007,J4704,train
R007,J4669,valid
R007,J5863,valid
R007,J4896,valid
R007,J2606,train
R007,J2569,valid
R007,J7429,train
R007,J4254,train
R007,J0973,train
R007,J1446,train
R007,J8401,train
R007,J6434,train
R007,J1113,train
R007,J3377,train
R007,J1162,train
R007,J3713,train
R007,J4153,train
R007,J1610,valid
R007,J2199,train
R007,J5680,train
R007,J2215,train
R008,J6522,train
R008,J6523,train
R008,J6524,train
R008,J6525,train
R008,J6526,valid
R008,J6527,train
R008,J6528,train
R008,J6529,test
R008,J6530,test
R008,J6531,valid
R008,J6532,test
R008,J6533,valid
R008,J6534,train
R008,J6535,train
R008,J6536,train
R008,J6537,train
R008,J6538,train
R008,J6539,train
R008,J6540,train
R008,J6541,train
R008,J6542,train
R008,J6543,train
R008,J6544,train
R008,J6545,train
R008,J6546,train
R008,J6547,train
R008,J6548,train
R008,J6549,valid
R008,J6550,train
R008,J6551,train
R008,J6552,test
R008,J6553,train
R008,J6554,train
R008,J6555,valid
R008,J6556,test
R008,J6557,test
R008,J6558,test
R008,J6559,train
R008,J6560,train
R008,J6561,valid
R008,J6562,train
R008,J6563,train
R008,J6564,valid
R008,J6565,test
R008,J6566,train
R008,J6567,train
R008,J6568,train
R008,J6569,valid
R008,J6570,train
R008,J6571,train
R008,J6572,train
R008,J6573,valid
R008,J6574,train
R008,J6575,train
R008,J6576,train
R008,J6577,test
R008,J6578,train
R008,J6579,train
R008,J6580,train
R008,J6581,train
R008,J6582,train
R008,J6583,test
R008,J6584,valid
R008,J6585,valid
R008,J6586,test
R008,J6587,train
R008,J6588,train
R008,J6589,valid
R008,J6590,test
R008,J6591,train
R008,J6592,train
R008,J6593,train
R008,J6594,test
R008,J6595,valid
R008,J6596,train
R008,J6597,train
R008,J6598,train
R008,J6599,train
R008,J6600,train
R008,J6601,train
R008,J6602,valid
R008,J6603,train
R008,J6604,train
R008,J6605,test
R008,J6606,train
R008,J6607,train
R008,J6608,train
R008,J6609,train
R008,J6610,train
R008,J6611,test
R008,J6612,train
R008,J6613,train
R008,J6614,test
R008,J6615,train
R008,J6616,train
R008,J6617,train
R008,J6618,train
R008,J6619,train
R008,J6620,train
R008,J6621,train
R008,J6622,train
R008,J6623,train
R008,J6624,train
R008,J6625,train
R008,J6626,train
R008,J6627,train
R008,J6628,train
R008,J6629,train
R008,J6630,train
R008,J6631,train
R008,J6632,train
R008,J6633,train
R008,J6634,valid
R008,J6635,train
R008,J6636,test
R008,J6637,train
R008,J6638,valid
R008,J6639,valid
R008,J6640,train
R008,J6641,test
R008,J6642,train
R008,J6643,train
R008,J6644,train
R008,J6645,test
R008,J6646,valid
R008,J6647,valid
R008,J6648,train
R008,J6649,train
R008,J6650,train
R008,J6651,train
R008,J6652,train
R008,J6653,train
R008,J6654,valid
R008,J6655,train
R008,J6656,train
R008,J6657,train
R008,J6658,test
R008,J6659,train
R008,J6660,train
R008,J6661,train
R008,J6662,train
R008,J6663,valid
R008,J6664,train
R008,J6665,train
R008,J6666,test
R008,J6667,train
R008,J6668,test
R008,J6669,test
R008,J6670,train
R008,J6671,train
R008,J6672,train
R008,J6673,train
R008,J6674,train
R008,J6675,train
R008,J6676,train
R008,J6677,train
R008,J6678,valid
R008,J6679,train
R008,J6680,valid
R008,J6681,train
R008,J6682,train
R008,J6683,train
R008,J6684,train
R008,J6685,test
R008,J6686,train
R008,J6687,train
R008,J6688,valid
R008,J6689,train
R008,J6690,train
R008,J6691,train
R008,J6692,train
R008,J6693,train
R008,J6694,train
R008,J6695,valid
R008,J6696,train
R008,J6697,train
R008,J6698,valid
R008,J6699,train
R008,J6700,train
R008,J6701,train
R008,J6702,train
R008,J6703,valid
R008,J6704,train
R008,J6705,test
R008,J6706,test
R008,J6707,train
R008,J6708,train
R008,J6709,test
R008,J6710,train
R008,J6711,train
R008,J6712,valid
R008,J6713,test
R008,J6714,train
R008,J6715,train
R008,J6716,train
R008,J6717,valid
R008,J6718,test
R008,J6719,test
R008,J6720,train
R008,J6721,train
R008,J6722,valid
R008,J6723,train
R008,J6724,valid
R008,J6725,train
R008,J6726,train
R008,J6727,train
R008,J6728,train
R008,J6729,train
R008,J6730,valid
R008,J6731,train
R008,J6732,train
R008,J6733,train
R008,J6734,train
R008,J6735,train
R008,J6736,train
R008,J6737,test
R008,J6738,valid
R008,J1927,train
R008,J0179,train
R008,J5718,train
R008,J2748,valid
R008,J7421,train
R008,J7156,train
R008,J1153,train
R008,J7980,test
R008,J2086,train
R008,J5186,train
R008,J1097,train
R008,J6012,test
R008,J7524,test
R008,J7841,test
R008,J2149,train
R008,J6010,valid
R008,J8800,valid
R008,J3106,train
R008,J6108,test
R008,J8216,train
R008,J7672,train
R008,J3900,train
R008,J5396,train
R008,J6755,train
R008,J7499,train
R008,J4180,train
R008,J2615,train
R008,J8195,valid
R008,J2493,train
R008,J7769,test
R008,J7213,valid
R008,J7596,train
R008,J0228,test
R008,J2884,train
R008,J5446,train
R008,J7027,train
R008,J3407,valid
R008,J5358,test
R008,J3956,train
R008,J5728,valid
R008,J4950,train
R008,J2700,train
R008,J6739,test
R008,J3784,test
R008,J2455,train
R008,J1189,train
R008,J2381,test
R008,J8349,test
R008,J8658,train
R008,J2727,train
R008,J6753,train
R008,J7946,train
R008,J2852,train
R008,J8822,train
R008,J8369,valid
R008,J3440,train
R008,J4103,train
R008,J6338,train
R008,J5635,train
R008,J8417,train
R008,J1439,train
R008,J1504,train
R008,J3140,test
R008,J1460,valid
R008,J1376,train
R008,J7606,train
R008,J2332,train
R008,J5196,test
R008,J5520,train
R008,J4592,train
R008,J2478,train
R008,J6810,test
R008,J7959,test
R008,J2798,train
R008,J3779,test
R008,J2617,test
R008,J2091,train
R008,J8244,train
R008,J2386,train
R008,J3637,train
R008,J0600,valid
R008,J2014,train
R008,J1876,train
R008,J0198,valid
R008,J5960,train
R008,J2463,valid
R008,J8315,train
R008,J5663,train
R008,J1994,train
R008,J8739,test
R008,J3090,train
R008,J1324,train
R008,J1188,train
R008,J0901,train
R008,J6867,train
R008,J5969,train
R008,J3901,valid
R008,J5069,train
R008,J8297,test
R008,J0065,train
R008,J8376,train
R008,J2169,test
R008,J3402,train
R008,J4636,train
R008,J3513,train
R008,J5989,valid
R008,J5020,train
R008,J5189,train
R008,J7423,test
R008,J7062,train
R008,J0994,train
R008,J3352,valid
R008,J1656,train
R008,J8577,train
R008,J5835,train
R008,J6367,train
R008,J4605,train
R008,J5200,train
R008,J6297,train
R008,J7441,test
R008,J0546,train
R008,J8522,train
R008,J4421,test
R008,J0991,train
R008,J1177,train
R008,J5426,train
R008,J3906,train
R008,J2334,train
R008,J6498,train
R008,J7125,train
R008,J7510,train
R008,J3450,train
R008,J8180,train
R008,J5331,train
R008,J1676,train
R008,J2056,test
R008,J0337,train
R008,J2208,test
R008,J3749,train
R008,J8012,train
R008,J5320,train
R008,J6369,train
R008,J8109,train
R008,J4645,valid
R008,J1720,train
R008,J4638,train
R008,J4112,train
R008,J3873,train
R008,J4897,train
R008,J2406,valid
R009,J1754,test
R009,J8176,train
R009,J5718,train
R009,J3902,test
R009,J3708,train
R009,J1583,train
R009,J1376,train
R009,J3539,test
R009,J4064,train
R009,J5650,test
R009,J4792,test
R009,J4235,valid
R009,J6644,train
