维度,取值,数量,占比(%)
技能,NumPy,29,5.8
技能,推荐算法,27,5.4
技能,SpringCloud,25,5.0
技能,算法优化,19,3.8
证书,英语六级,84,16.8
证书,计算机一级,76,15.2
证书,英语四级,74,14.8
证书,计算机二级,62,12.4
证书,软考中级,60,12.0
证书,红帽RHCE认证,47,9.4
证书,华为HCIA认证,42,8.4
证书,系统架构设计师,38,7.6
证书,MySQL数据库认证,37,7.4
证书,阿里云ACP云计算认证,34,6.8
证书,软件设计师（中级）,30,6.0
证书,PMP项目管理专业人士,30,6.0
